cs001	1	150.34	217.98	-0.05	-0.28	-41.72	-60.49
cs002	1	156.24	158.16	0.37	0.13	19.69	19.93
cs004	1	-37.04	25.23	1.30	-0.55	20.31	-13.84
cs005	1	212.66	192.52	4.10	-0.14	-30.02	-27.18
cs006	1	-139.47	-393.11	2.67	0.09	-12.01	-33.86
cs007	1	-71.33	-99.16	-0.01	0.50	-35.65	-49.56
cs008	1	-192.97	272.43	1.09	0.04	-8.53	12.04
cs009	1	272.92	184.87	-2.22	-0.08	-21.67	-14.68
cs010	1	-130.46	27.02	0.03	-0.11	14.56	-3.02
cs011	1	139.69	111.42	-0.71	-0.12	-16.86	-13.45
cs012	1	-69.60	-51.80	-1.73	-0.32	22.39	16.67
cs013	1	51.67	301.03	1.81	1.04	53.63	312.47
cs014	1	-242.81	3.94	-2.63	-0.02	5.22	-0.08
cs015	1	93.72	-73.11	-0.73	-0.04	-3.85	3.00
cs017	1	68.25	-377.08	2.49	0.12	8.16	-45.09
cs018	1	96.66	196.87	-2.88	-0.78	-75.36	-153.49
cs019	1	-185.20	-349.50	-0.09	-0.09	16.10	30.38
cs020	1	-187.84	34.84	-1.11	-0.06	11.07	-2.05
cs021	1	296.20	217.27	1.27	0.37	108.26	79.41
cs022	1	-58.90	-298.31	2.76	0.52	-30.73	-155.64
cs026	1	274.01	-106.77	-1.48	-0.08	-20.97	8.17
cs027	1	-137.53	78.42	0.72	-0.20	27.15	-15.48
cs028	1	101.84	-88.51	0.34	1.06	107.71	-93.61
cs030	1	62.06	-20.60	-2.46	0.00	0.26	-0.09
cs032	1	-238.15	108.02	-2.39	-0.66	156.47	-70.97
cs033	1	131.30	56.82	-0.09	-0.31	-41.28	-17.86
cs034	1	272.88	288.65	-0.53	0.22	59.23	62.65
cs035	1	31.24	356.14	1.15	-0.62	-19.51	-222.37
cs037	1	-263.61	-106.70	-0.62	0.34	-90.19	-36.51
cs038	1	-57.13	-237.38	0.57	0.60	-34.21	-142.17
cs039	1	-37.42	-15.86	0.61	-0.23	8.63	3.66
cs040	1	-199.84	196.59	-2.59	-0.67	134.63	-132.45
cs041	1	116.35	432.49	0.64	-0.37	-42.60	-158.37
cs042	1	-254.05	-473.04	0.86	-0.75	190.21	354.17
cs043	1	-12.94	68.80	3.08	0.39	-5.01	26.63
cs044	1	-163.68	51.62	0.21	-0.30	49.27	-15.54
cs045	1	497.23	-76.69	-2.32	-0.14	-71.99	11.10
cs046	1	25.24	-256.46	4.20	0.73	18.36	-186.48
cs048	1	220.94	-67.26	-3.13	0.43	93.92	-28.59
cs049	1	-256.38	142.21	-1.01	-0.64	163.70	-90.80
cs051	1	26.19	1.48	0.62	-0.25	-6.60	-0.37
cs052	1	20.38	-175.43	-0.16	0.23	4.67	-40.23
cs053	1	-128.47	-56.37	-2.57	-0.33	42.40	18.60
cs054	1	-60.85	-225.99	2.76	0.85	-51.77	-192.26
cs055	1	327.71	-35.94	0.85	-0.42	-136.54	14.97
cs056	1	-186.83	129.85	2.29	-0.24	44.74	-31.09
cs057	1	-10.94	53.53	-2.10	-0.39	4.22	-20.65
cs058	1	9.43	44.43	1.07	1.16	10.98	51.75
cs059	1	-167.96	-408.01	2.92	0.59	-99.33	-241.29
cs060	1	-61.03	14.53	3.39	-0.02	1.36	-0.32
cs061	1	-210.73	218.28	0.84	0.47	-99.16	102.71
cs062	1	-12.51	-48.16	-1.10	0.16	-1.95	-7.49
cs063	1	-87.25	36.35	-0.49	-0.20	17.59	-7.33
cs064	1	-105.18	29.60	-0.16	-0.08	7.97	-2.24
cs065	1	245.02	-295.39	0.01	0.38	94.02	-113.35
cs066	1	196.28	-274.22	0.84	-0.02	-4.01	5.60
cs068	1	498.89	279.35	-0.34	-0.73	-363.61	-203.60
cs069	1	-170.44	230.91	-0.54	0.01	-1.54	2.09
